Ponto,Arquivo,Shape,Dtype,Min,Max
Point10,Pan-Keratin.tif,"(2048, 2048)",uint16,0,84
Point10,PD-L1.tif,"(2048, 2048)",uint16,0,13
Point10,PD1.tif,"(2048, 2048)",uint16,0,13
Point10,phospho-S6.tif,"(2048, 2048)",uint16,0,29
Point10,Segmentation.tif,"(2048, 2048)",uint16,0,1
Point10,SegmentationInterior.tif,"(2048, 2048)",uint8,0,1
Point10,Si.tif,"(2048, 2048)",uint16,0,512
Point10,SMA.tif,"(2048, 2048)",uint16,0,99
Point10,Ta.tif,"(2048, 2048)",uint16,0,382
Point10,Vimentin.tif,"(2048, 2048)",uint16,0,196
Point11,Au.tif,"(2048, 2048)",uint16,0,388
Point11,B7H3.tif,"(2048, 2048)",uint16,0,0
Point11,Background.tif,"(2048, 2048)",uint16,0,46
Point11,Beta catenin.tif,"(2048, 2048)",uint16,0,22
Point11,C.tif,"(2048, 2048)",uint16,0,0
Point11,Ca.tif,"(2048, 2048)",uint16,0,509
Point11,CD11b.tif,"(2048, 2048)",uint16,0,9
Point11,CD11c.tif,"(2048, 2048)",uint16,0,16
Point11,CD138.tif,"(2048, 2048)",uint16,0,13
Point11,CD16.tif,"(2048, 2048)",uint16,0,33
Point11,CD163.tif,"(2048, 2048)",uint16,0,8
Point11,CD20.tif,"(2048, 2048)",uint16,0,35
Point11,CD209.tif,"(2048, 2048)",uint16,0,7
Point11,CD3.tif,"(2048, 2048)",uint16,0,11
Point11,CD31.tif,"(2048, 2048)",uint16,0,9
Point11,CD4.tif,"(2048, 2048)",uint16,0,7
Point11,CD45.tif,"(2048, 2048)",uint16,0,23
Point11,CD45RO.tif,"(2048, 2048)",uint16,0,18
Point11,CD56.tif,"(2048, 2048)",uint16,0,13
Point11,CD63.tif,"(2048, 2048)",uint16,0,24
Point11,CD68.tif,"(2048, 2048)",uint16,0,26
Point11,CD8.tif,"(2048, 2048)",uint16,0,33
Point11,CSF-1R.tif,"(2048, 2048)",uint16,0,17
Point11,dsDNA.tif,"(2048, 2048)",uint16,0,109
Point11,EGFR.tif,"(2048, 2048)",uint16,0,11
Point11,Fe.tif,"(2048, 2048)",uint16,0,508
Point11,FoxP3.tif,"(2048, 2048)",uint16,0,7
Point11,H3K27me3.tif,"(2048, 2048)",uint16,0,126
Point11,H3K9ac.tif,"(2048, 2048)",uint16,0,66
Point11,HLA-DR.tif,"(2048, 2048)",uint16,0,118
Point11,HLA_Class_1.tif,"(2048, 2048)",uint16,0,67
Point11,IDO.tif,"(2048, 2048)",uint16,0,14
Point11,Keratin17.tif,"(2048, 2048)",uint16,0,24
Point11,Keratin6.tif,"(2048, 2048)",uint16,0,47
Point11,Ki67.tif,"(2048, 2048)",uint16,0,22
Point11,Lag3.tif,"(2048, 2048)",uint16,0,13
Point11,MPO.tif,"(2048, 2048)",uint16,0,70
Point11,Na.tif,"(2048, 2048)",uint16,0,664
Point11,OX40.tif,"(2048, 2048)",uint16,0,17
Point11,P.tif,"(2048, 2048)",uint16,0,65
Point11,p53.tif,"(2048, 2048)",uint16,0,18
Point11,Pan-Keratin.tif,"(2048, 2048)",uint16,0,56
Point11,PD-L1.tif,"(2048, 2048)",uint16,0,8
Point11,PD1.tif,"(2048, 2048)",uint16,0,9
Point11,phospho-S6.tif,"(2048, 2048)",uint16,0,14
Point11,Segmentation.tif,"(2048, 2048)",uint16,0,1
Point11,SegmentationInterior.tif,"(2048, 2048)",uint8,0,1
Point11,Si.tif,"(2048, 2048)",uint16,0,513
Point11,SMA.tif,"(2048, 2048)",uint16,0,92
Point11,Ta.tif,"(2048, 2048)",uint16,0,371
Point11,Vimentin.tif,"(2048, 2048)",uint16,0,195
Point12,Au.tif,"(2048, 2048)",uint16,0,459
Point12,B7H3.tif,"(2048, 2048)",uint16,0,19
Point12,Background.tif,"(2048, 2048)",uint16,0,24
Point12,Beta catenin.tif,"(2048, 2048)",uint16,0,18
Point12,C.tif,"(2048, 2048)",uint16,0,0
Point12,Ca.tif,"(2048, 2048)",uint16,0,506
Point12,CD11b.tif,"(2048, 2048)",uint16,0,15
Point12,CD11c.tif,"(2048, 2048)",uint16,0,21
Point12,CD138.tif,"(2048, 2048)",uint16,0,15
Point12,CD16.tif,"(2048, 2048)",uint16,0,40
Point12,CD163.tif,"(2048, 2048)",uint16,0,24
Point12,CD20.tif,"(2048, 2048)",uint16,0,46
Point12,CD209.tif,"(2048, 2048)",uint16,0,7
Point12,CD3.tif,"(2048, 2048)",uint16,0,10
Point12,CD31.tif,"(2048, 2048)",uint16,0,8
Point12,CD4.tif,"(2048, 2048)",uint16,0,32
Point12,CD45.tif,"(2048, 2048)",uint16,0,64
Point12,CD45RO.tif,"(2048, 2048)",uint16,0,36
Point12,CD56.tif,"(2048, 2048)",uint16,0,6
Point12,CD63.tif,"(2048, 2048)",uint16,0,28
Point12,CD68.tif,"(2048, 2048)",uint16,0,160
Point12,CD8.tif,"(2048, 2048)",uint16,0,30
Point12,CSF-1R.tif,"(2048, 2048)",uint16,0,17
Point12,dsDNA.tif,"(2048, 2048)",uint16,0,164
Point12,EGFR.tif,"(2048, 2048)",uint16,0,7
Point12,Fe.tif,"(2048, 2048)",uint16,0,508
Point12,FoxP3.tif,"(2048, 2048)",uint16,0,12
Point12,H3K27me3.tif,"(2048, 2048)",uint16,0,123
Point12,H3K9ac.tif,"(2048, 2048)",uint16,0,42
Point12,HLA-DR.tif,"(2048, 2048)",uint16,0,165
Point12,HLA_Class_1.tif,"(2048, 2048)",uint16,0,71
Point12,IDO.tif,"(2048, 2048)",uint16,0,16
Point12,Keratin17.tif,"(2048, 2048)",uint16,0,22
Point12,Keratin6.tif,"(2048, 2048)",uint16,0,59
Point12,Ki67.tif,"(2048, 2048)",uint16,0,21
Point12,Lag3.tif,"(2048, 2048)",uint16,0,13
Point12,MPO.tif,"(2048, 2048)",uint16,0,85
Point12,Na.tif,"(2048, 2048)",uint16,0,584
Point12,OX40.tif,"(2048, 2048)",uint16,0,24
Point12,P.tif,"(2048, 2048)",uint16,0,70
Point12,p53.tif,"(2048, 2048)",uint16,0,29
Point12,Pan-Keratin.tif,"(2048, 2048)",uint16,0,38
Point12,PD-L1.tif,"(2048, 2048)",uint16,0,10
Point12,PD1.tif,"(2048, 2048)",uint16,0,12
Point12,phospho-S6.tif,"(2048, 2048)",uint16,0,26
Point12,Segmentation.tif,"(2048, 2048)",uint16,0,1
Point12,SegmentationInterior.tif,"(2048, 2048)",uint8,0,1
Point12,Si.tif,"(2048, 2048)",uint16,0,515
Point12,SMA.tif,"(2048, 2048)",uint16,0,29
Point12,Ta.tif,"(2048, 2048)",uint16,0,395
Point12,Vimentin.tif,"(2048, 2048)",uint16,0,150
Point13,Au.tif,"(2048, 2048)",uint16,0,434
Point13,B7H3.tif,"(2048, 2048)",uint16,0,0
Point13,Background.tif,"(2048, 2048)",uint16,0,48
Point13,Beta catenin.tif,"(2048, 2048)",uint16,0,24
Point13,C.tif,"(2048, 2048)",uint16,0,0
Point13,Ca.tif,"(2048, 2048)",uint16,0,504
Point13,CD11b.tif,"(2048, 2048)",uint16,0,9
Point13,CD11c.tif,"(2048, 2048)",uint16,0,15
Point13,CD138.tif,"(2048, 2048)",uint16,0,13
Point13,CD16.tif,"(2048, 2048)",uint16,0,38
Point13,CD163.tif,"(2048, 2048)",uint16,0,8
Point13,CD20.tif,"(2048, 2048)",uint16,0,30
Point13,CD209.tif,"(2048, 2048)",uint16,0,10
Point13,CD3.tif,"(2048, 2048)",uint16,0,11
Point13,CD31.tif,"(2048, 2048)",uint16,0,9
Point13,CD4.tif,"(2048, 2048)",uint16,0,12
Point13,CD45.tif,"(2048, 2048)",uint16,0,34
Point13,CD45RO.tif,"(2048, 2048)",uint16,0,25
Point13,CD56.tif,"(2048, 2048)",uint16,0,12
Point13,CD63.tif,"(2048, 2048)",uint16,0,100
Point13,CD68.tif,"(2048, 2048)",uint16,0,41
Point13,CD8.tif,"(2048, 2048)",uint16,0,49
Point13,CSF-1R.tif,"(2048, 2048)",uint16,0,15
Point13,dsDNA.tif,"(2048, 2048)",uint16,0,96
Point13,EGFR.tif,"(2048, 2048)",uint16,0,7
Point13,Fe.tif,"(2048, 2048)",uint16,0,480
Point13,FoxP3.tif,"(2048, 2048)",uint16,0,7
Point13,H3K27me3.tif,"(2048, 2048)",uint16,0,107
